row_index,old_sentiment,new_sentiment,reason,issue,review_text,cleaned_review
6,positive,neutral,mixed_or_mild_issue_neutral_overall,no_issue,"Đúng với mô tả: đúng với mô tả Màu sắc: đen, tím than Chất liệu: nilong Giao hàng nhanh, shipped nhiệt tình, hàng như mô tả, ko có chỉ thừa, quần nhẹ, chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop 5⭐️ 0:19 9 8xbm85ibs2",đúng với mô tả đúng với mô tả màu sắc đen tím than chất liệu nilong giao hàng nhanh shipped nhiệt tình hàng như mô tả khong có chỉ thừa quần nhẹ chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop 5
30,positive,neutral,mixed_or_mild_issue_neutral_overall,no_issue,"Màu sắc: đen, ghi Đúng với mô tả: đúng size tư vấn Chất liệu: 92% polyester 8% spandex Cao m72, nặng 68kg shop tư vấn sz XL, khuyeen moij ng mua rộng hơn xíu cho thoải mái. Chất vải phù hợp với giá tiền, 0:40 1 t*****3",màu sắc đen ghi đúng với mô tả đúng size tư vấn chất liệu 92 polyester 8 spandex cao m72 nặng 68kg shop tư vấn sz xl khuyeen moij ng mua rộng hơn xíu cho thoải mái chất vải phù hợp với giá tiền
37,positive,neutral,received_or_not_used_or_reward_review,no_issue,"Vỏ gối mát cực, nằm ngủ thoải mái Gối êm nha, đàn hồi tốt, bông chuẩn 🥰 Bao bì đẹp, mùi thơm, dùng xong thấy da cũng ok, nên dùng thử nha 0:04",vỏ gối mát cực nằm ngủ thoải mái gối êm nha đàn hồi tốt bông chuẩn bao bì đẹp mùi thơm dùng xong thấy da cũng ok nên dùng thử nha
90,positive,neutral,received_or_not_used_or_reward_review,no_issue,Đúng với mô tả: đúng Chất lượng sản phẩm: tốt Có vẻ thấm hút rất tốt. Mình sẽ đem đi giặt 1 lần rồi dùng thử xem sao. Đáng tiền nha. 0:10 10 z3bsmvoi9t,đúng với mô tả đúng chất lượng sản phẩm tốt có vẻ thấm hút rất tốt mình sẽ đem đi giặt 1 lần rồi dùng thử xem sao đáng tiền nha
100,positive,neutral,received_or_not_used_or_reward_review,no_issue,"Đúng với mô tả: màu sắc đẹp Chất lượng sản phẩm: tốt Mới đặt lần đầu chưa dùng nên chưa nhận xét được chất lượng. Tuy nhiên màu sắc khăn đẹp, vải khá mềm. Shop giao hàng nhanh. 0:11 4 vitquang219",đúng với mô tả màu sắc đẹp chất lượng sản phẩm tốt mới đặt lần đầu chưa dùng nên chưa nhận xét duoc chất lượng tuy nhiên màu sắc khăn đẹp vải khá mềm shop giao hàng nhanh
146,positive,neutral,mixed_or_mild_issue_neutral_overall,no_issue,"Chất liệu cũng bình thuờng thôi ạ, cũng như hàng ngoài chợ ạ, hàng to hơn giá rẻ hơn, mà mua k tốn ship tiện khỏi đi mua. 0:04 1 toan17tb",chất liệu cũng bình thuờng thôi ạ cũng như hàng ngoài chợ ạ hàng to hơn giá rẻ hơn mà mua khong tốn ship tiện khỏi đi mua
157,positive,neutral,received_or_not_used_or_reward_review,no_issue,"Đúng với mô tả: đúng Chất lượng sản phẩm: ổn Mình mới nhận hàng chưa dùng thử nên không biết thấm hút tốt không, nhìn chung với tầm giá thì OK, shiper thân thiện 0:31",đúng với mô tả đúng chất lượng sản phẩm ổn mình mới nhận hàng chưa dùng thử nên khong biết thấm hút tốt khong nhìn chung với tầm giá thì ok shiper thân thiện
162,positive,neutral,mixed_or_mild_issue_neutral_overall,no_issue,"Đúng với mô tả: đúng Chất lượng sản phẩm: ổn so với giá Khăn màu giống hình, k bị rụng lông, khăn khá ổn so với giá, giao hàng nhanh 0:30 1 luuphan299",đúng với mô tả đúng chất lượng sản phẩm ổn so với giá khăn màu giống hình khong bị rụng lông khăn khá ổn so với giá giao hàng nhanh
214,positive,neutral,received_or_not_used_or_reward_review,no_issue,"Hiệu năng: tốt Chụp ảnh: đẹp Màn hình: ok Shop chuẩn bị và giao hàng rất nhanh. Giá thành hợp lý. Nguyên seal, bước đầu sử dụng tốt,có gì sẽ đánh giá sau. Đánh giá 5 sao.. 0:05",hiệu năng tốt chụp ảnh đẹp màn hình ok shop chuẩn bị và giao hàng rất nhanh giá thành hợp lý nguyên seal bước đầu sử dụng tốt có gì sẽ đánh giá sau đánh giá 5 sao
219,positive,neutral,received_or_not_used_or_reward_review,no_issue,Chụp ảnh: shop gửi hàng nhanh chất lượng tốt giá cả hợp lý cho shop 5sao lần sau ủng hộ tiep Màn hình: hình ảnh mang tính chất nhận xu 0:49,chụp ảnh shop gửi hàng nhanh chất lượng tốt giá cả hợp lý cho shop 5sao lần sau ủng hộ tiep màn hình hình ảnh mang tính chất nhận xu
269,positive,neutral,mixed_or_mild_issue_neutral_overall,no_issue,￼ Hình ảnh chỉ mang tính chất nhận su shop đóng gói nhanh nhưng shipper giao hơi chậm cho shop 5 sao,hình ảnh chỉ mang tính chất nhận su shop đóng gói nhanh nhưng shipper giao hơi chậm cho shop 5 sao
284,neutral,negative,serious_negative_issue,no_issue,Hàng ko bị lỗi. Quay video lại giao hàng để check trước cẩn thận. Ko biết pin ntn có tuột nhanh ko 0:17,hàng khong bị lỗi quay video lại giao hàng để check trước cẩn thận khong biết pin ntn có tuột nhanh khong
307,negative,neutral,mixed_or_mild_issue_neutral_overall,shipping_delivery,Chất lương thì ok nhưng giao hàng cực lâu.... Hơn 2 tháng .... Định không nhận hàng nữa rồi cơ. 2 t*****t,chất lương thì ok nhưng giao hàng cực lâu hơn 2 tháng định khong nhận hàng nữa rồi cơ 2 t sao sao sao sao sao t
309,neutral,negative,serious_negative_issue,product_quality,"Kết nối chập chờn, kết nối từ đt chỉ tìm thấy 1 bên tai. Ko kết nối đc tai còn lại. Ngoại hình đẹp. Hộp sạc hít nam châm ko lo rơi tai nghe. Pin lên xuống thất thường. Nhận hàng đc 1 tuần nhưng chưa khi nào kết nối đc cả 2 tai nên ko biết pin tối đa bao lâu",kết nối chập chờn kết nối từ đt chỉ tìm thấy 1 bên tai khong kết nối duoc tai còn lại ngoại hình đẹp hộp sạc hít nam châm khong lo rơi tai nghe pin lên xuống thất thường nhận hàng duoc 1 tuần nhưng chưa khi nào kết nối duoc cả 2 tai nên khong biết pin tối đa bao lâu
