review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type
1,"quần rất đẹp , vải gió thoáng mát mặc mùa này là chuẩn bài rồi. hình in đẹp, in chắc chắn giặt máy không lo bong luôn. mình mua cho bố mà bố khen mặc thoải mái với mát lắm ạ, nên mua nha",positive,material_comfort,yes,product_quality,free_text_review
2,đẹp đúng với hình ảnh tốt hàng đẹp bận mác mẻ chỉ may đẹp mọi người nên mua nha ưng quá chừng mình mua nhiều lần rồi shop uy tín chất lượng 10 đồng không có nhưng. 69 v,positive,product_quality,yes,seller_service,shopee_template_review
3,chất lượng sản phẩm tuyệt vời. đóng gói sản phẩm rất đẹp và chắc chắn. shop phục vụ rất tốt. rất đáng tiền. thời gian giao hàng rất nhanh,positive,product_quality,yes,shipping_delivery,free_text_review
4,"đúng 3xl đen+xanh than vải dù co giản mới nhận được hàng 2 cái quần đùi rất đẹp,vải co giản nhẹ mát,đường chỉ may đẹp tỉ mỉ chắc chắn,chất liệu tốt ,có 2 túi quần bên không may dây kéo chắc chắn,sau mông cũng có túi may dây kéo,nhận được quần rất ưng ý nha,cảm ơn shop đã tư vấn nhiệt tình,shop đóng gói kĩ lưỡng,nên mua nha mọi người.",positive,product_quality,yes,material_comfort,shopee_template_review
5,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền",positive,wrong_missing_item,yes,material_comfort,shopee_template_review
6,"quần mặc dễ chịu, thoáng mát so với giá tiền mà chất này thì quá rẻ luôn, đánh 5 cho shop sẽ ghé lại",positive,price_value,yes,material_comfort,free_text_review
7,"đúng với mô tả đen, tím than nilong giao hàng nhanh, shipper nhiệt tình, hàng như mô tả, không có chỉ thừa, quần nhẹ, chắc mặc mùa hè sẽ nóng nhưng vẫn cho shop",positive,shipping_delivery,yes,color_design,shopee_template_review
8,"okhông okhông okhông hàng đẹp, vừa khít, đúng side đường may đẹp chất lượng giá bình dân giao hàng nhanh chóng cảm ơn nhiều nhiều hẹn gặp lại",positive,product_quality,yes,size_fit,shopee_template_review
9,"đúng gió nhẹ đúng mô tả sản phẩm đẹp, form dáng ok, chuẩn size, đường may chắc chắn không có chỉ thừa, 3 túi đều có khoá kéo, túi may cũng chắc chắn, nên mua các bạn nhé, sẽ ủng hộ thêm",positive,product_quality,yes,size_fit,shopee_template_review
10,hàng về rất ưng. đúng với mô tả mình tron ghi và đen chất vải mềm và đẹp shop đóng gói cẩn thận và giao hàng nhanh. hàng về mặc rất vừa. mình đã mua nhiều của shop lần nào về cũng ưng lần sau có áo đẹp lại mua tiếp. vừa rồi mua đôi quần rồi 5 e3y 85 ac3,positive,color_design,yes,material_comfort,shopee_template_review
11,"tốt giao hàng nhanh, bao bì đóng gói ổn đã mua nhiều lần ở shop nên rất ưng ý sẽ ủng hộ tiếp nữa 5 le thi van",positive,packaging,yes,product_quality,shopee_template_review
12,"đúng mát y hình nhận hàng rất ưng. 1m68, 68kg, béo bụng, shop tư vấn xl. rất vừa đẹp. vote 5 sao, nên mua nhé cả nhà. đường chỉ cẩn thận, vải chất lượng, mát, có dây rút, túi có khoá",positive,product_quality,yes,size_fit,shopee_template_review
13,"thoáng mát, dễ chịu co giãn nhẹ, bền chuẩn sản phẩm nguyên vẹn. đóng gói cẩn thận. sản phẩm chất liệu tốt. mặc thoải mái, dễ chịu. không ra màu khi giặt. body fit săn sale livestream shopee style nên voucher giá quá tốt! giao hàng nhanh. hài lòng! sẽ mua lại khi săn được sale",positive,material_comfort,yes,product_quality,shopee_template_review
14,đúng vải gió ghi và đen lần đầu tiên mua đồ nam trên shopee giá rẻ hơn rất nhiều so với mua ngoài shop shop giao hàng nhanh giá trên tem là 170 khi mua combo hai cái miễn phí ship chỉ có 147.000đ thật là rẻ quần xịn xò không có chỉ thừa thoáng mát mua ở shop không có giá này chồng mặc vừa vặn đúng thông số 3 dc4oaw zh1,positive,color_design,yes,material_comfort,shopee_template_review
15,"đen, xám vải đúng shop đóng gói cẩn thận và giao hàng nhanh, quần chất liệu mềm mát và khá bền mkhông đã tin và sử dụng nhiều sản phẩm của shop mọi người nên mua nha",positive,material_comfort,yes,color_design,shopee_template_review
16,"den ghi vừa vặn, shop giao nhanh. quần mặc thoải mái, 1 lớp, có khoá túi kéo tiện để điện thoại. dây rút buộc trong không lo dãn chun 3 d",positive,product_quality,yes,size_fit,shopee_template_review
