synthetic_id,page,review_text,cleaned_review,sentiment,issue,source
neutral_gen_0001,0,"Kích thước size vừa, chất liệu vải, cảm nhận ban đầu bình thường 0:15",kích thước size vừa chất liệu vải cảm nhận ban đầu bình thường 0 15,neutral,product_attribute,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0002,0,"Váy màu đen, M, nhìn ngoài bt, chưa thử lâu",váy màu đen m nhìn ngoài bt chưa thử lâu,neutral,product_attribute,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0003,0,"Shipper giao như bình thường, hàng nhận đủ, chưa dùng nhé",shipper giao như bình thường hàng nhận đủ chưa dùng nhé,neutral,shipping_delivery,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0004,0,"Hàng nhận đủ, k có gì để nhận xét nhiều, chưa dùng thực tế cho 4 sao trước",hàng nhận đủ khong có gì để nhận xét nhiều chưa dùng thực tế cho 4 sao trước,neutral,no_issue,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0005,0,"Bánh tráng nhìn tạm, chất lượng cần dùng thêm mới biết 0:10",bánh tráng nhìn tạm chất lượng cần dùng thêm mới biết 0 10,neutral,product_quality,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0006,0,Mới dùng thử khô gà một lần cảm giác bình thường chưa kết luận được 0:10,mới dùng thử khô gà một lần cảm giác bình thường chưa kết luận duoc 0 10,neutral,product_quality,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0007,0,"Giá tạm được, chất lượng cần dùng thêm mới đánh giá rõ nha",giá tạm duoc chất lượng cần dùng thêm mới đánh giá rõ nha,neutral,price_value,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0008,0,"Tư vấn chưa nhiều nên mình chưa nhận xét được, hàng đã nhận nha",tư vấn chưa nhiều nên mình chưa nhận xét duoc hàng đã nhận nha,neutral,seller_service,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0009,0,"mới lấy từ shipper, hiện tại thấy tạm ổn, dùng một thời gian mới biết",mới lấy từ shipper hiện tại thấy tạm ổn dùng một thời gian mới biết,neutral,no_issue,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0010,0,"Túi gói đơn giản, nhận hàng bt",túi gói đơn giản nhận hàng bt,neutral,packaging,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0011,0,"Đã nhận khô gà, đủ số lượng, dùng thử vài hôm rồi tính tiếp thôi",đã nhận khô gà đủ số lượng dùng thử vài hôm rồi tính tiếp thôi,neutral,no_issue,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0012,0,cho đủ ký tự nhận xu thôi hàng đã nhận nha,cho đủ ký tự nhận xu thôi hàng đã nhận nha,neutral,spam_irrelevant,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0013,0,"Sản phẩm tới nơi rồi, cầm lên thấy ở mức ổn, tạm đánh giá trung bình cho 4 sao trước hình ảnh minh họa",sản phẩm tới nơi rồi cầm lên thấy ở mức ổn tạm đánh giá trung bình cho 4 sao trước hình ảnh minh họa,neutral,no_issue,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0014,0,"Chất lượng sản phẩm: chưa rõ. mới lấy từ shipper, để dùng thêm rồi đánh giá sau hình ảnh minh họa",chất lượng sản phẩm chưa rõ mới lấy từ shipper để dùng thêm rồi đánh giá sau hình ảnh minh họa,neutral,product_quality,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0015,0,"Đã nhận váy, đủ số lượng, mới nhận nên chưa đánh giá được nhiều cho 4 sao trước",đã nhận váy đủ số lượng mới nhận nên chưa đánh giá duoc nhiều cho 4 sao trước,neutral,no_issue,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0016,0,"Gói hàng đơn giản, đủ sản phẩm, chưa sử dụng nên chưa đánh giá thêm 0:15",gói hàng đơn giản đủ sản phẩm chưa sử dụng nên chưa đánh giá thêm 0 15,neutral,packaging,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0017,0,"video không liên quan, mình mới nhận hàng 0:15",video khong liên quan mình mới nhận hàng 0 15,neutral,spam_irrelevant,synthetic_neutral_shopee_realistic_external_informed
neutral_gen_0018,0,"Giao hàng bình thường, hàng nhận đủ, chưa dùng ạ",giao hàng bình thường hàng nhận đủ chưa dùng ạ,neutral,shipping_delivery,synthetic_neutral_shopee_realistic_external_informed
