source_file,page,review_text,cleaned_review,sentiment,model_sentiment,sentiment_rule,issue,issue_candidate,score,matched_patterns,needs_human_review,review_note,review_status
shopee_issue_candidates.csv,18,Mùi hương: mùi trà xanh giống nước rửa chén sunlight Công dụng: sữa tắm Phù hợp với loại da: da mụn Kiện hàng gồm 7 món. Để chung vào 1 hộp mà k có bọc chống sốc. Đóng gói sơ sài . Vỏ hộp khi giao thì bị rách. Giao thiếu hàng kèm theo khi mua deal sốc là hộp tẩy da chết dove. Chai sữa tắm lifebuoy bị lỗi vòi hút. Chỉ có 1 đoạn phía trên không bơm lên được. Chat với shop thì mấy ngày mới trả lời lại. Thủ tục Trả hàng mất thời gian mất công đóng gói mang đi gửi trả nữa. nên thôi coi như xui 0:24,mùi hương mùi trà xanh giống nước rửa chén sunlight công dụng sữa tắm phù hợp với loại da da mụn kiện hàng gồm 7 món để chung vào 1 hộp mà khong có bọc chống sốc đóng gói sơ sài vỏ hộp khi giao thì bị rách giao thiếu hàng kèm theo khi mua deal sốc là hộp tẩy da chết dove chai sữa tắm lifebuoy bị lỗi vòi hút chỉ có 1 đoạn phía trên khong bơm lên duoc chat với shop thì mấy ngày mới trả lời lại thủ tục trả hàng mất thời gian mất công đóng gói mang đi gửi trả nữa nên thôi coi như xui 0 24,negative,negative,clear_negative_rule,wrong_missing_item,packaging,3,dong goi so sai; goi so sai; hop vo,False,wrong_missing_item_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (1).csv,14,"Shop giao thiếu hàng. Đặt thùng 30 gói thì giao 29 gói. Các gói giấy sắp hết hạn sử dụng , lại bị rách góc, được để trong thùng carton rách nát. 0:11",shop giao thiếu hàng đặt thùng 30 gói thì giao 29 gói các gói giấy sắp hết hạn sử dụng lại bị rách góc duoc để trong thùng carton rách nát 0 11,negative,negative,clear_negative_rule,wrong_missing_item,wrong_missing_item,3,giao thieu; shop giao thieu; thieu hang,False,wrong_missing_item_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (1).csv,118,Chất lượng sản phẩm: giao sai hangf shop giao nhầm hàng cho em rôi thùng có 20 gói thôi 0:16,chất lượng san pham giao sai hangf shop giao nhầm hàng cho em rôi thùng có 20 gói thôi 0 16,negative,negative,clear_negative_rule,wrong_missing_item,wrong_missing_item,3,giao sai; giao nham; shop giao nham,False,wrong_missing_item_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (1).csv,61,"Chất lượng sản phẩm: thiếu hàng nên chưa biết Đúng với mô tả: thiếu hàng nên không biết Thay vì kiểm tra lại camera check của shop, shop hỏi mình kiểu như mình cố tình ăn gian 45k của shop, xin ảnh chụp 4 góc của gói hàng cùng bill, cho hỏi là lúc đó ai rảnh chụp 1 gói hàng lớn như vậy nhỉ. Shop giao thiếu mình cũng gặp nhiều rồi, nhưng người ta check camera cửa hàng trước rồi mới hỏi khách sau... có lẽ mình tin tưởng shop quá nên mới thế, tính ra cái đơn hơn 250k xíu mà mình thanh toán trước luôn mà shop nghĩ mình lừa đảo shop cũng chịu được cái tư duy...",chất lượng san pham thiếu hàng nên chua biết đúng với mô tả thiếu hàng nên khong biết thay vì kiểm tra lại camera check của shop shop hỏi mình kiểu như mình cố tình ăn gian 45k của shop xin ảnh chụp 4 góc của gói hàng cùng bill cho hỏi là lúc đó ai rảnh chụp 1 gói hàng lớn như vậy nhỉ shop giao thiếu mình cũng gặp nhiều rồi nhưng người ta check camera cửa hàng trước rồi mới hỏi khách sau có lẽ mình tin tưởng shop quá nên mới thế tính ra cái đơn hơn 250k xíu mà mình thanh toán trước luôn mà shop nghĩ mình lừa đảo shop cũng chịu duoc cái tư duy,negative,negative,clear_negative_rule,wrong_missing_item,wrong_missing_item,3,giao thieu; shop giao thieu; thieu hang,False,wrong_missing_item_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates.csv,6,"Phù hợp với loại da: không biết Mùi hương: không biêts Công dụng: không rõ đóng gói sơ sài kinh khủng , eo chưa thấy shop nào đóng gói như shop này ,bị khó chịu vll, còn k có bọc chống sốp, không bằng mình mua mỗi túyt thuốc mà ngta còn bọc chống shop , quá tệ ,tệ điên, tệ k có từ gì để tả nổi, khó chịu:)) 0:21",phù hợp với loại da khong biết mùi hương khong biêts công dụng khong rõ đóng gói sơ sài kinh khủng eo chua thấy shop nào đóng gói như shop này bị khó chịu vll còn khong có bọc chống shop khong bằng mình mua mỗi túyt thuốc mà ngta còn bọc chống shop quá tệ tệ điên tệ khong có từ gì để tả nổi khó chịu 0 21,negative,negative,clear_negative_rule,packaging,packaging,3,dong goi so sai; goi so sai; hop vo,False,packaging_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (3).csv,8,"Hãng lớn nổi tiếng mà đóng gói sơ sài bọc 1 lớp chống sốc mỏng bên ngoài nhận hàng hộp nát bét trông chán, dép mùi cao su rất nồng và khó chịu",hãng lớn nổi tiếng mà đóng gói sơ sài bọc 1 lớp chống sốc mỏng bên ngoài nhận hàng hộp nát bét trông chán dép mùi cao su rất nồng và khó chịu,negative,negative,clear_negative_rule,packaging,packaging,3,dong goi so sai; goi so sai; hop nat,False,packaging_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates.csv,2,Công dụng: mịn da Mùi hương: thơm Phù hợp với loại da: mọi loại da Đóng gói sơ sài không hài lòng chút nào dù là shopee mall 0:06,công dụng mịn da mùi hương thơm phù hợp với loại da mọi loại da đóng gói sơ sài khong hài lòng chút nào dù là shopee mall 0 06,negative,positive,clear_negative_rule,packaging,packaging,3,dong goi so sai; goi so sai; hop vo,False,packaging_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (2).csv,137,Đúng với mô tả: Tốt❤️❤️❤️ Chất lượng sản phẩm: Tốt❤️❤️❤️❤️ Đóng gói sơ sài. Ko có chống sốc của nhà Ugeen Ugreen Ốp Điện Thoại Trong Suốt Từ Tính Chống Va Đập Cho iPhone 13 14 Pro Max 2,đúng với mô tả tốt chất lượng san pham tốt đóng gói sơ sài khong có chống sốc của nhà ugeen ugreen ốp điện thoại trong suốt từ tính chống va đập cho iphone 13 14 pro max 2,negative,positive,clear_negative_rule,packaging,packaging,3,dong goi so sai; goi so sai; khong co chong soc,False,packaging_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (5).csv,13,Chất lượng: khas Đóng gói sơ sài phần giấy như có ai bóc ra rồi ship đắt mà đóng gói tệ,chất lượng khas đóng gói sơ sài phần giấy như có ai bóc ra rồi ship đắt mà đóng gói tệ,negative,negative,clear_negative_rule,packaging,packaging,3,dong goi so sai; dong goi te; goi so sai,False,packaging_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
shopee_issue_candidates (1).csv,113,"Shop giao thiếu hàng, nhân viên không phản hồi",shop giao thiếu hàng nhân viên khong phản hồi,negative,negative,clear_negative_rule,wrong_missing_item,wrong_missing_item,3,giao thieu; shop giao thieu; thieu hang,False,wrong_missing_item_priority_rule; clear_complaint_negative,reviewed_by_rule_and_context
