id,review_text,cleaned_review,sentiment,issue,source
boost_neutral_0589,"sua tam nhin dung loai, hoi nhe, van chap nhan dc 0:05",sua tam nhin dung loai hoi nhe van chap nhan dc 0 05,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0153,"hat dieu nhin bth, chx test ky thoi",hat dieu nhin bth chx test ky thoi,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0285,"moi mo goi xem qua, dong goi cung duoc, chua khen che duoc nhieu 0:08",moi mo goi xem qua dong goi cung duoc chua khen che duoc nhieu 0 08,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0613,"tien nao cua nay, chat luong can dung them moi biet nhe",tien nao cua nay chat luong can dung them moi biet nhe,neutral,price_value,ai_neutral_train_boost_v3
boost_neutral_0207,"moi mo goi xem qua, dong goi cx dc, chx khen che dc nhieu",moi mo goi xem qua dong goi cx dc chx khen che dc nhieu,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0634,tui gia re nen cung tam a,tui gia re nen cung tam a,neutral,price_value,ai_neutral_train_boost_v3
boost_neutral_0553,"tai nghe nhin dung loai, hoi long leo nhe, van chap nhan duoc 0:05",tai nghe nhin dung loai hoi long leo nhe van chap nhan duoc 0 05,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0393,"chat luong tam on, de dung them roi tinh 0:05",chat luong tam on de dung them roi tinh 0 05,neutral,product_quality,ai_neutral_train_boost_v3
boost_neutral_0538,"form hoi co ban, nhin cung ok",form hoi co ban nhin cung ok,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0185,"den ngu dung co ban chac on, chx dung lau nen chx biet a",den ngu dung co ban chac on chx dung lau nen chx biet a,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0325,"dung thu ly thuy tinh thay bth, chua ket luan duoc a",dung thu ly thuy tinh thay bth chua ket luan duoc a,neutral,product_quality,ai_neutral_train_boost_v3
boost_neutral_0432,"chat luong tam on, chua dung lau nen chua biet 0:08",chat luong tam on chua dung lau nen chua biet 0 08,neutral,product_quality,ai_neutral_train_boost_v3
boost_neutral_0782,nhan hang roi danh gia truoc 0:05,nhan hang roi danh gia truoc 0 05,neutral,spam_irrelevant,ai_neutral_train_boost_v3
boost_neutral_0788,"tu van o muc tam, chua co gi de nhan xet them a",tu van o muc tam chua co gi de nhan xet them a,neutral,seller_service,ai_neutral_train_boost_v3
boost_neutral_0043,"sua rua mat nhin bth, hien tai chua thay gi ro nhe",sua rua mat nhin bth hien tai chua thay gi ro nhe,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0369,"sac ko qua xin nhung cx ko te, dung tam",sac ko qua xin nhung cx ko te dung tam,neutral,product_quality,ai_neutral_train_boost_v3
boost_neutral_0571,"son mau nhin tam, chat lieu bth, chua co gi dac biet 0:10",son mau nhin tam chat lieu bth chua co gi dac biet 0 10,neutral,product_attribute,ai_neutral_train_boost_v3
boost_neutral_0710,"ship ko nhanh cung ko qua cham, hang nhan du",ship ko nhanh cung ko qua cham hang nhan du,neutral,shipping_delivery,ai_neutral_train_boost_v3
boost_neutral_0674,"don toi noi roi, giao hoi lau nhung van nhan du",don toi noi roi giao hoi lau nhung van nhan du,neutral,shipping_delivery,ai_neutral_train_boost_v3
boost_neutral_0319,"hang nhan du, mau cung on, danh gia tam vay 0:10",hang nhan du mau cung on danh gia tam vay 0 10,neutral,no_issue,ai_neutral_train_boost_v3
boost_neutral_0754,viet cho du ky tu nhan xu nhe,viet cho du ky tu nhan xu nhe,neutral,spam_irrelevant,ai_neutral_train_boost_v3
