review_id,column,old_value,new_value,review_text
5,sentiment_label,negative,positive,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
5,issue_label,material_comfort,wrong_missing_item,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
5,secondary_issue,wrong_missing_item,material_comfort,"đen vải thoáng mát, đường may chắc chắn. đã mua ủng hộ 2 lần, shop làm ăn uy tín, giao thiếu là giao bổ sung liền"
25,sentiment_label,neutral,positive,"vải gió đen, xanh than đúng theo hình ảnh mới mua lần đầu nhưng sản pham củng khá chat luong"
113,sentiment_label,neutral,positive,"đúng kích thước,đủ số lượng tặng kèm khăn tay trắng. giặt phơi sạch sẽ nha. khăn cotton thấm hút. có nhu cầu sẽ quay lại mua của shop. 1 k"
177,sentiment_label,negative,positive,"nhanh cotton mềm mfu sắc đẹp chất liệu vải êm mềm ,lúc lau mặt không bị rát khó chịu vải dày dặn mình rất thikhông , được gói trong bọc rất tiện lợi khi mag đi hay tặng cho người khác"
203,sentiment_label,neutral,positive,tôi thấy hiệu suất xử lý mọi tác vụ rất mượt mà chụp ảnh và quay video đều sắc nét và rõ chi tiết màn hình độ phân giải cao giúp xem phim chụp hình đều rõ
218,sentiment_label,neutral,positive,"hieeju suaats iphone 17 pro max thif khoir phair banf camr thaasy tuyeejt vowif vowis camera màn hình 120hz nest ddejp ngon lanfh săn được giá tạm, không rớt giá xíu nào luôn é"
246,sentiment_label,neutral,negative,"mua hàng 4/4 và đợi đúng 5-6 ngày mới nhận được, lâu quá. mà trên app hẹn giao hàng ngày 7-4 mà không thấy đâu"
255,sentiment_label,neutral,positive,iphone giá mua qua sàn hợp lý chụp ảnh quay video sắc nét độ phân giải tốc độ xử lí cao
266,sentiment_label,neutral,negative,hàng bản mỹ chứ không phải vn/a. không giới thiệu hay mô tả rõ ràng khiến người mua nhầm lẫn vietell store chỉ bán 100% bản iphone việt nam
270,sentiment_label,negative,positive,hình ảnh chỉ mang tính chất nhận su shop đóng gói nhanh nhưng shipper giao hơi chậm cho shop 5 sao
