page,issue_candidate,score,matched_patterns,review_text
1,price_value,1,"khong xung","Chất liệu: da Balo mỏng hơn balo của da của brand D nhưng giá tiền thì mắc hơn cả trăm ngàn kh xứng với giá như vậy"
2,price_value,1,"khong dang tien","Khá thất vọng. Quần vừa nhận trông ổn nhưng giặt xong bị bung chỉ tùm lum. Đường may quá lỏng lẻo, cảm giác mặc không bền. Không đáng tiền"
3,wrong_missing_item,1,"dat mau","Màu sắc: black Đúng với mô tả: ko Đặt màu trắng ra màu đen dm"
3,price_value,1,"khong xung","Chất lượng sản phẩm: Ko xứng với giá tiền Giao hàng lâu đặt từ đầu tuần mà đến tận cuối tuần mới có. Ốp k xứng với giá tiền, mng cthe nhìn thấy là viền in bị tràn ra luôn mà. Ốp thực sự cầm rất cứng, cầm lâu khá đau và rát, k nịnh tay chút xíu nào. Cầm lâu RẤT DỄ bị nhờn tay cũng như là in vân tay RÕ lên trên ốp. Brand lớn mà gửi sp cho KH như là kiểu sp lỗi ấy. Phần lỗ cắm sạc thì bị rách???"
6,price_value,2,"khong xung; chat luong khong xung","Chất lượng không xứng với giá tiền, mình mới mặc và giặt 2 lần mà phần cổ áo đã bị giãn rồi 0:30"
7,packaging,2,"dong goi so sai; goi so sai","Đóng gói sơ sài !!"
7,packaging,1,"hop mop","Hộp móp cskh tệ"
8,packaging,3,"dong goi so sai; goi so sai; hop nat","Hãng lớn nổi tiếng mà đóng gói sơ sài bọc 1 lớp chống sốc mỏng bên ngoài nhận hàng hộp nát bét trông chán, dép mùi cao su rất nồng và khó chịu"
9,packaging,1,"dong goi khong can than","Đóng gói k cẩn thận Dép hơi mùi Bị ra màu nha , đi tất vô xanh tất lun 0:07"
11,packaging,2,"dong goi so sai; goi so sai","Đúng với mô tả: hàng đúng Thật sự hàng cũng ổn nhưng ở cái mức giá này mà Đóng gói sơ sài thế này k có nổi cái hộp thì em tháy nó không được chỉnh chu lắm em mong shop sẽ sớm thêm hộp cho phần đóng gói để sản phẩm ok hơn nha"
15,packaging,1,"hop mop","Hàng vẫn chuyển xa bị va đập hộp móp méo, sản phẩm có tình trạng mất fom"
17,packaging,1,"hop vo","Áo mỏng, nhìn như áo đại trà v, kh phù hợp với giá tiền là gần 600k"
17,packaging,2,"dong goi so sai; goi so sai","Màu sắc: đen Chất liệu: da mà không phải da Đóng gói sơ sài , không có đồ giữ fom , ộp ẹp, ..."
18,spam_irrelevant,1,"nhan xu","Hình ảnh và video mang tính chất nhận xu, quy trình đổi size phức tạp, dù mình đã nói đem qua tận kho đổi nhưng shop vẫn phải check mã gì đó, tận 1-2 ngày sau mình mới được đổi. Với giá này mình mong chất lượng dịch vụ phải chuyên nghiệp hơn. Mong shop cải thiện 0:05"
18,spam_irrelevant,1,"nhan xu","Shop đóng gói cẩn thận. Áo dễ thương, kiểu baby tee, chất vải ổn. Số đo mang tính nhận xu. Edit: áo lem màu kinh dị luôn mọi người ơi 😨. Vì là form baby tee nên mình cũng chịu khó giặt tay nhẹ nhàng để giữ form, giặt riêng mình ẻm và bằng sữa tắm. Nhưng ngay sau lần giặt đầu tiên, mình phát hiện ra phần cổ áo màu nâu lem ra phần áo màu sáng xung quanh. Và cái logo xanh ngay cổ áo là lem màu tệ nhất luôn 😰. Vì cổ áo nhỏ nên mình không tròng móc vào để tránh giãn cổ mà phơi áo theo kẻo gấp đôi, thế là cái chữ xanh của logo dính đầy ra phần đuôi áo. Thật sự chất lượng rất rất tệ so với giá tiền 😣. 0:12"
18,packaging,2,"dong goi so sai; goi so sai","Đóng gói sơ sài, k có hộp,k có túi chỉ có bịch mủ bên ngoài. M"
