row_index,review_text,cleaned_review,sentiment,predicted_sentiment,prediction_confidence,is_correct,issue,matched_rules,audit_note
2055,Chất liệu: vải Màu sắc: đen Đúng với mô tả: đúng Tôi muốn hỏi là khi mô hình như là một trong những ngày trước bạn có thể làm,chất liệu vải màu sắc đen đúng với mô tả đúng tôi muốn hỏi là khi mô hình như là một trong những ngày trước bạn có thể làm,positive,positive,0.35432603519358097,True,no_issue,,
4756,Mềm dẻo: dung deo de tach Giòn: ok Cảm giác hành phi kp 100% từ hành như shop ghi ăn gần hết thấy bị sạn có vài viên sạn nhỏ tí Bánh tráng ngon mềm dẻo Sốt ngon 0:06,mềm dẻo dung deo de tach giòn ok cảm giác hành phi kp 100 từ hành như shop ghi ăn gần hết thấy bị sạn có vài viên sạn nhỏ tí bánh tráng ngon mềm dẻo sốt ngon 0 06,neutral,positive,0.35782908636878513,False,product_quality,,
2552,"Chất lượng sản phẩm: Tốt Đúng với mô tả: Đúng Nhận hàng đúng mô tả, sản phẩm giống mẫu, pin giao 100%, sạc vào pin đt, giá hợp lý, còn pin tốt hay không chưa sài nên chưa biết. Giao hàng nhanh. Gói hàng thiếu sốp dễ va đập 0:31",chất lượng san pham tốt đúng với mô tả đúng nhận hàng đúng mô tả san pham giống mẫu pin giao 100 sạc vào pin đt giá hợp lý còn pin tốt hay khong chua sài nên chua biết giao hàng nhanh gói hàng thiếu shop dễ va đập 0 31,negative,negative,0.35834695054332294,True,packaging,negative_loi_hong,
146,"Chất liệu cũng bình thuờng thôi ạ, cũng như hàng ngoài chợ ạ, hàng to hơn giá rẻ hơn, mà mua k tốn ship tiện khỏi đi mua. 0:04 1 toan17tb",chất liệu cũng bình thuờng thôi ạ cũng như hàng ngoài chợ ạ hàng to hơn giá rẻ hơn mà mua khong tốn ship tiện khỏi đi mua 0 04 1 toan17tb,neutral,negative,0.3605165393830927,False,no_issue,negative_loi_hong,neutral_but_has_clear_negative_signal
2244,Màu sắc: hồng Đúng với mô tả: chật độ co dãn ít chất vải phù hợp với giá tiền nhưng độ co dãn ít . mình mặc size s nhưng mua size về mặc lại không vừa hơi chật 0:21,màu sắc hồng đúng với mô tả chật độ co dãn ít chất vải phù hợp với giá tiền nhưng độ co dãn ít mình mặc size s nhưng mua size về mặc lại khong vừa hơi chật 0 21,negative,negative,0.3623355141815154,True,product_attribute,negative_loi_hong,
225,"Giao hàng nhanh chóng, đóng bọc cẩn thận lắm ạ, mỗi tội shop giới hạn ko cho mua nhiều hay sao ấy, mình thích màu bạc nhưg mà hết, thôi mua tạm cam, bh lên deal bạc giá tôt mua sau 0:49",giao hàng nhanh chóng đóng bọc cẩn thận lắm ạ mỗi tội shop giới hạn khong cho mua nhiều hay sao ấy mình thích màu bạc nhưg mà hết thôi mua tạm cam bh lên deal bạc giá tôt mua sau 0 49,positive,positive,0.3678112185937247,True,no_issue,negative_loi_hong,
2012,t m54 51kg nhưng vai khá rộng thấy sáng suốt chọn size XL mặc thoải mái cực ý. size L t cx mua mà bin chật nách khó chiệu. ncl ưng lắm vải co giãn mátt mê cực nhma trừ 1c là giặt máy 1 lần đã hơi xù r hic nhìn k như bdau. này phải giặt tay các bác ạ,t m54 51kg nhưng vai khá rộng thấy sáng suốt chọn size xl mặc thoải mái cực ý size l t cx mua mà bin chật nách khó chiệu ncl ưng lắm vải co giãn mátt mê cực nhma trừ 1c là giặt máy 1 lần đã hơi xù r hic nhìn khong như bdau này phải giặt tay các bác ạ,positive,negative,0.3746249899883764,False,product_quality,negative_loi_hong,
4024,"Công dụng: lam trang Dành cho da: moi loai da Mùi hương: thom de chiu Sản phẩm oke nhé mn, hình ảnh chỉ mang tính chất minh hoạ",công dụng lam trang dành cho da moi loai da mùi hương thom de chiu san pham oke nhé moi nguoi hình ảnh chỉ mang tính chất minh hoạ,positive,neutral,0.3807920600041113,False,no_issue,,
1439,Hàng quá rẻ so với chất lượng,hàng quá rẻ so với chất lượng,positive,positive,0.38225332842590065,True,no_issue,,
5008,Có sỏi trong ruốc tép hành phi. Bên cửa hàng nên cẩn thân hơn trong quá trình đóng gói,có sỏi trong ruốc tép hành phi bên cửa hàng nên cẩn thân hơn trong quá trình đóng gói,negative,negative,0.38433864073883245,True,product_quality,,
