review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type,processed_text
RV0001,bình nước nhìn ngoài được nhưng thực tế mùi rất khó chịu.,Negative,product_quality,no,,normal,bình nước nhìn ngoài được nhưng thực tế mùi rất khó chịu
RV0002,"giày dùng ổn, ship khá nhanh, bao bì sạch sẽ.",Positive,no_issue,no,,normal,giày dùng ổn ship khá nhanh bao bì sạch sẽ
RV0003,"Giao khá nhanh nhưng giao sai màu, shop xử lý đổi trả chậm.",Negative,wrong_item,yes,customer_service,mixed_topic,giao khá nhanh nhưng giao sai màu shop xử lý đổi trả chậm
RV0004,"gói hàng nhìn rất cũ, may là bàn phím chưa hỏng hẳn.",Negative,packaging,no,,normal,gói hàng nhìn rất cũ may là bàn phím chưa hỏng hẳn
RV0005,Mình không hài lòng vì hộp bị móp khi nhận hàng.,Negative,packaging,no,,normal,mình không hài lòng vì hộp bị móp khi nhận hàng
RV0006,"Hàng chuẩn, màu đẹp, bên bán nhắn tin lịch sự nên mình hài lòng.",Positive,no_issue,no,,normal,hàng chuẩn màu đẹp bên bán nhắn tin lịch sự nên mình hài lòng
RV0007,"Mình mua váy, thấy màu đẹp, cửa hàng đổi trả rõ ràng.",Positive,no_issue,no,,normal,mình mua váy thấy màu đẹp cửa hàng đổi trả rõ ràng
RV0008,Mình đặt máy xay nhưng shop giao sai màu.,Negative,wrong_item,no,,normal,mình đặt máy xay nhưng shop giao sai màu
RV0009,"Nhận khăn tắm mà không có chống sốc, nhìn rất thiếu chuyên nghiệp.",Negative,packaging,no,,normal,nhận khăn tắm mà không có chống sốc nhìn rất thiếu chuyên nghiệp
RV0010,abc xyz nhận xu Mình ghi nhận như vậy.,Neutral,spam_or_irrelevant,no,,spam_xu,abc xyz nhận xu mình ghi nhận như vậy
RV0011,Mình không hài lòng vì không có chống sốc khi nhận hàng. Hy vọng lần sau tốt hơn.,Negative,packaging,no,,normal,mình không hài lòng vì không có chống sốc khi nhận hàng hy vọng lần sau tốt hơn
RV0012,"không có chống sốc, may là chuột máy tính chưa hỏng hẳn.",Negative,packaging,no,,normal,không có chống sốc may là chuột máy tính chưa hỏng hẳn
RV0013,Mình không hài lòng vì hộp bị móp khi nhận hàng. Mình ghi nhận như vậy.,Negative,packaging,no,,normal,mình không hài lòng vì hộp bị móp khi nhận hàng mình ghi nhận như vậy
RV0014,"khăn tắm chắc chắn, giao đúng hẹn, bao bì sạch sẽ.",Positive,no_issue,no,,normal,khăn tắm chắc chắn giao đúng hẹn bao bì sạch sẽ
RV0015,"Mình hỏi về đồng hồ mà thái độ phản hồi khó chịu, rất mất thời gian.",Negative,customer_service,no,,normal,mình hỏi về đồng hồ mà thái độ phản hồi khó chịu rất mất thời gian
RV0016,Sản phẩm bên trong tạm ổn nhưng đóng gói sơ sài. Mình ghi nhận như vậy.,Negative,packaging,no,,normal,sản phẩm bên trong tạm ổn nhưng đóng gói sơ sài mình ghi nhận như vậy
