review_text,sentiment_label,issue_label
"Dép đi trong nhà chống trơn trượt là loại dép có đế cao su hoặc nhựa (EVA, PVC) thiết kế gai ma sát, giúp an toàn trên sàn ướt, đồng thời có thể chống thấm nước, thoáng khí, êm chân, nhẹ, và nhiều loại còn có khả năng massage, giữ ấm, khử mùi, phù hợp để đi trong nhà, nhà tắm, văn phòng, với các chất liệu phổ biến như cao su, nhựa dẻo, xốp nhẹ, và vải bông, đáp ứng nhu cầu đa dạng từ sự thoải mái đến vệ sinh. Các loại phổ biến & đặc điểm nổi bật: Dép nhựa EVA/PVC lỗ thoáng khí: Đặc điểm: Siêu nhẹ, bền, chống nước, mau khô, có lỗ thoáng khí (giảm mùi hôi), đế chống trượt hiệu quả, êm chân. Phù hợp: Nhà tắm, nhà vệ sinh, nhà có trẻ nhỏ",positive,no_issue
Độ êm: đi rất em chân Chất liệu: nhựa xốp Màu sắc: màu lâu Hàng đẹp giá rẻ đi êm chống trơn trượt tốt sẽ ủng hộ shop lâu dài,positive,no_issue
"Màu sắc: nâu, Chất liệu: cao su Đúng với mô tả: đúng với mô tả, dép dễ đi , mềm k bị đau chân , đi lên nhìn chân bật tông😘😘😘😘",positive,no_issue
"Dép mang rất nhẹ, mền dẻo đi rất êm không đau chân.Size thì lớn hơn size chuẩn, loại này dành cho người có bàn chân mập ,tròn thích hợp hơn 👍👍👍",positive,no_issue
Chỉ xem được 1 máy. Nhắn tin hỏi mà shop ko hỗ trợ trả lời. Quá thất vọng Giao hàng nhanh.đóng gói cẩn thận,negative,packaging
"Sài ok! Chưa báo lỗi, không biết sản phẩm có bền không, đợi thêm thời gian xem sao!",positive,no_issue
"Hai cái, một cái kết nối cài đặt rất nhanh, một cái thì đổ mồ hôi rất lâu mới kết nối được, cứ báo không kết nối được wifi mãi. Nhưng cuối cùng cũng ổn",negative,damaged_defective
hàng ok? nhưng bên vận chuyển đồ công nghệ mà để méo hết hộp may k hỏng?,negative,shipping_delivery
Đóng gói kém hở hết chân camera trầy xước do vận chuyển . Chất lượng đang check . Miễn phí vận chuyển đơn trên 100k nhưng thực tế mất phí,negative,shipping_delivery
"Chất lượng sản phẩm: ok Tính năng nổi bật: ok 100 TỪ ĐỒNG NGHĨA DÂN IELTS PHẢI THUỘC LÒNG important = crucial, significant = quan trọng common = universal, ubiquitous = phổ biến abundant = ample, plentiful = dồi dào stick = adhere, cling = gắn với neglect = ignore = không quan tâm near = adjacent, adjoin = gần pursue = woo, seek = theo đuổi accurate = precise, exact = chính xác vague = obscure = mơ hồ top = peak, summit = đỉnh competitor = rival, opponent = đối thủ blame = condemn = đổ lỗi opinion = perspective, standpoint = quan điểm fame = prestige, reputation = danh tiếng build = erect, establish = xây dựng insult = humiliate = xúc phạm complain = grumble = phàn nàn primary = radical, fundamental = chính relieve = alleviate = xoa dịu force = coerce into, compel = bắt ép enlarge = magnify = mở rộng complex = intricate = phức tạp lonely = solitary = cô đơn small = minuscule, minute = nhỏ bé praise = extol, compliment = ca ngợi hard-working = assiduous = chăm chỉ difficult = arduous = khó khăn poor (soil) = barren, infertile = cằn cỗi fragile = brittle, vulnerable = dễ tổn thương show = demonstrate = thể hiện big = massive, colossal, tremendous = to lớn avoid = shun = tránh fair = impartial = công bằng attack = assault = tấn công dislike = abhor, loathe = không thích ruin = devastate = phá hủy always = invariably = luôn luôn forever = perpetual, immutable = mãi mãi surprise = startle, astound, astonish = bất ngờ enthusiasm = zeal, fervency = nhiệt huyết quiet = tranquil, serene = bình lặng expensive = exorbitant = đắt đỏ luxurious = lavish, sumptuous = sang chảnh boring = tedious = nhàm chán respect = esteem = tôn trọng worry = fret = lo lắng cold = chilly, icy = lạnh hot = boiling = nóng dangerous = perilous = nguy hiểm only = unique, distinctive = độc đáo stop = cease = ngừng part = component = phần result = consequence = kết quả obvious = apparent, manifest = hiển nhiên based on = derived from = dựa trên quite = fairly = khá pathetic = lamentable = thảm hại field = domain = lĩnh vực appear = emerge = xuất hiện whole = entire = tất cả wet = moist, damp, humid = ẩm ướt wrong = erroneous = sai lầm difficult = formidable = khó khăn change = convert = biến đổi typical = quintessential = điển hình careful = cautious, prudent = cẩn thận ability = capacity, capability = năng lực strange = eccentric = kỳ lạ rich= affluent = giàu có use = utilize = sử dụng dubious = skeptical = nghi ngờ satisfy = gratify = thỏa mãn short = fleeting, ephemeral = ngắn ngủi scholarship = fellowship = học bổng smelly = malodorous = bốc mùi ugly = hideous = xấu xí attractive = appealing, absorbing = thu hút diverse = miscellaneous = đa dạng disorder = disarray, chaos = hỗn loạn crazily = frantically = điên rồ rapid = meteoric = nhanh",neutral,spam_irrelevant
"Sóng wifi kém, hàng giao bị nứt 1 chân ốc. Nói chung giá rẻ nên cũng chấp nhận đc",positive,no_issue
Chất lượng ảnh ban ngày thì cũng tạm được. Ban đêm thì kém quá không bằng hãng khác 1mpx .với giá rẻ như vậy thì cũng không thể đòi hỏi nhiều,positive,no_issue
Nhận dc hàng rồi nhưng dùng thấy tốc độ mạng kém thấy cứ bị giật giật ko biết nguyên nhân vì sao? Mong shop giải thích giúp,negative,damaged_defective
Cục cấp nguồn bị vỡ nhưng vẫn dùng được. Lần sau shop cần chú ý bọc chống sốc cho cả cục nguồn,negative,packaging
"Camera ngon trong tầm giá, nhưng shop phản hồi chậm khi thắc mắc về phần mềm cài đặt !",negative,damaged_defective
"Giao camera thiếu thẻ nhớ 64G, gọi không cầm máy nt không trả lời,đến khi làm thủ tục trả hàng hoàn tiền thì mới trả lời.gửi bổ sung Bán hàng không ghi rõ Model chỉ ghi 4K,Q18 pro,8.0mpx Nhưng thực tế model: AK2P31-JW-Q2 18D HB,LEN3.4MM Ở camera ghi 8.0mpx. Mn khi mua nên hỏi kỹ model để khỏi bị ""đánh lận con đen"" Không hài lòng với cách giao tiếp của shop với khách hàng",positive,damaged_defective
"Đóng gói hơi móp méo , nhưng dùng thấy OK, ko biết về sau sẽ ntn",negative,packaging
"Gặp trục trặc tí trong vấn đề kết nối , cứ báo lỗi hoài , nhưng cuối cùng cũng kết nối đc , liên hệ shop hơi khó tí về việc hỗ trợ , ko đc nhiệt tình lắm , cứ bảo lên mạng tìm clip HD về cách lắp đặt . Hình ảnh từ camera tốt , trong và rõ",positive,damaged_defective
"Hàng mới lắp thấy sd ok ,nét đẹp ,độ bền thì phải chờ time xác nhận ,mỗi tội đóng hộp sơ xài ,bẹp móp đủ kiểu ,tv hỗ trợ thì chậm ,từ hôm trước đến tận hôm sau mí trả lời thì còn tv cái gì ,nói chung là sp ok ,sẽ ủng hộ shop",negative,packaging
"Độ mạnh: ổn Thời lượng pin: bình thường Chất liệu: cũng được Sản phẩm khá tốt, chất liệu cứng cáp, có 2 cấp độ, mát vừa, mát mạnh, thời lượng pin thì ổn, mà hơi thất vọng tại vì cái đầu quạt không xoay, di chuyển được, cứng đơ luông ắk",positive,no_issue
"Chất lượng sản phẩm: ok Tính năng nổi bật: đúng Đúng với mô tả: hình ảnh khác thực tế Hơi thất vọng vì hình ảnh là của makita nhưng nhận được là Taki, cảm giác như bị mua phải hàng nhái",positive,damaged_defective
"Đóng gói sơ sài, vận chuyển xa nhưng k chêm bên trong hộp nên lồng quạt bị móp méo, làm nghe tiếng rè của lồng quạt khi bật. Được cái quạt chạy mạnh, đang test thời lượng pin",negative,shipping_delivery
"Vừa mới nhận dc. Quạt , máy bị trầy xước tùm lum. Chưa sử dụng nhưng nhận hàng như ko phải đồ mới hơi thất vọng",negative,damaged_defective
"Vận chuyển bị móp, lồng quạt mềm, dễ móp, cánh cọ xè xè, motor bung óc, trục lệch như clip. Đợi hàng về r đi sửa thêm 50k. Nhắn shop rep đúng 3 dòng như ảnh. Chấm hỏi! Nhưng công tâm thì quạt có mát, sd tạm ổn",positive,shipping_delivery
"Chất lượng sản phẩm: tạm ổn Đúng với mô tả: đúng Tính năng nổi bật: làm mát,đã mua một cái và thấy ok nên mua thêm,nhưng mua lần 2 này ko ưng ý lắm vì shop đóng gói sơ sài,quạt thì to mà hộp đóng gói thì nhỏ xíu,móp méo,cánh quạt sát vào thân máy gây ra tiếng ồn lớn do va chạm vào nhau,máy thì quay rất ồn luôn,so với máy mình mua trước thì nó quạt êm hơn còn máy đợt này quá ồn,quay cảm giác rất khó chịu như tiếng máy cày ý",negative,packaging
Tôi đã mua 1cai dùng ok nên mua cái thứ 2thi nhận hàng đóng gói không được cẩn thận như đơt đầu bị móp,negative,packaging
"Chất lượng sản phẩm: lỗi Tính năng nổi bật: mát, lâu hết pin Giao đúng mẫu nhưng bị lỗi có hai mức nhưng chỉ sài được một mức, mình có hỏi shop nhưng shop không hề có phản hồi, bỏ tiền ra nhưng nhận lại hàng lỗi không đúng quảng cáo🙂",negative,damaged_defective
"Tàm tạm thôi. Thiết kế chỉ để xài khi mất điện, chứ k vừa xài vừa sạc được đâu. Cánh quạt bằng kim loại, hơi ghê. Shop đóng hàng khá cẩu thả nữa",negative,size_fit
Chất lượng sản phẩm: kém Đúng với mô tả: yes Quạt hoàng thiện quá kém nhưng vẫn sài đc,positive,damaged_defective
Tính năng nổi bật: ok Đúng với mô tả: ok Chất lượng sản phẩm: quạt thì ok nhưng củ sạc bị gãy đầu chui chui sạc bị gãy,negative,damaged_defective
"Mua về dùng thử bật hơn 4 tiếng vẫn chạy ok, nhưng quạt thì bị móp méo hết bật cánh quạt chạm vào khung phải lấy kìm bẻ lại mới không chạm. Quạt và cả pin đều có những chỗ bị xước",negative,packaging
Đúng với mô tả: đúng Chất lượng sản phẩm: rất tệ diện tích gió quá nhỏ nên không thấy mát gì cả không đáng tiền chỉ được cái đẹp,positive,no_issue
"Chất lượng sản phẩm: cx đc Đúng với mô tả: đúng Giao hàng về hộp móp, mới mở mà hình led đã bị xước, tui không bíc làm sao để móc dây vào luôn, giao hàng lâu",negative,packaging
"Rất thất vọng về shop, hôm trc mk có mua 1 cái thấy dùng ok gió mát lâu hết pin nên đặt thêm 2 chiếc về dùng, nhưng shop lại gửi mk nghĩ rằng đã có ng dùng thấy pin 82% nhưng rất nhanh hết pin, còn 1 chiếc là 0% pin, cái 82% nhanh hết pin lắm mk bật số 1 mà chưa đến 1 phút mất 1% pin vậy trung bình hơn nửa tiếng là hết pin r, nếu bật số 5 thì chắc dc vài phút 1 r*****3",positive,damaged_defective
"Chất lượng sản phẩm: theo thời gian để đánh giá Đúng với mô tả: không giống Tôi đặt quạt màu xanh Shop giao màu trắng, nếu như không có màu tôi chọn Shop có thể ib hỏi tôi, để rồi nhận ko đúng với lựa chọn của mình cảm thấy thất vọng không hề nhẹ",positive,no_issue
